SEED	BIGG	KEGG	byocyc	name
rxn02201_c0	['FOLDm', 'DHPS2', 'FOLD3', 'DHPS2FOLD3', 'FOLD3m']	R03067	['META:H2PTEROATESYNTH-RXN', 'META:H2PTEROATESYNTH-RXN.c']	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0
rxn00351_c0	['GSH2', 'GTHS']	R00497	['META:GLUTATHIONE-SYN-RXN.c', 'META:GLUTATHIONE-SYN-RXN']	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)_c0
rxn07431_c0	NULL	R07600	NULL	R07600_c0
rxn00836_c0	['HPT1_1', 'HXPRTr', 'HXPRT']	R01132	['META:HYPOXANPRIBOSYLTRAN-RXN', 'META:HYPOXANPRIBOSYLTRAN-RXN.c']	IMP:diphosphate phospho-D-ribosyltransferase_c0
rxn00390_c0	NULL	R00546	NULL	N-Acyl-L-aspartate amidohydrolase_c0
rxn08180_c0	BTS4	NULL	NULL	Biotin synthase_c0
rxn00062_c0	['FATP', 'ATPOBJ', 'U214', 'ATPM', 'NTP1']	['R10531', 'R00086']	['META:RXN-11109.c', 'META:3.6.4.1-RXN.c', 'META:3.6.3.11-RXN', 'META:ABC-19-RXN', 'META:RXN-10799.c', 'META:3.6.4.9-RXN.c', 'META:3.6.4.5-RXN.c', 'META:NUCLEOSIDE-TRIPHOSPHATASE-RXN.c.metaexp.ADP_ATP', 'META:3.6.4.6-RXN.c', 'META:3.6.3.52-RXN.c', 'META:3.6.4.8-RXN.c', 'META:TRANS-RXN-332', 'META:3.6.3.51-RXN.c', 'META:3.6.4.7-RXN.c', 'META:3.6.4.5-RXN', 'META:3.6.4.4-RXN.c', 'META:RXN-10800.c', 'META:3.6.4.2-RXN.c', 'META:3.6.3.50-RXN.c', 'META:TRANS-RXN-333', 'META:ABC-70-RXN', 'META:ATPASE-RXN', 'META:ABC-16-RXN', 'META:3.6.4.4-RXN', 'META:3.6.3.47-RXN', 'META:3.6.4.1-RXN', 'META:3.6.4.11-RXN.c', 'META:ABC-64-RXN', 'META:TRANS-RXN-334', 'META:RXN-11135.c', 'META:3.6.4.3-RXN.c', 'META:ADENOSINETRIPHOSPHATASE-RXN.c', 'META:3.6.4.2-RXN', 'META:RXN0-1061.c']	ATP phosphohydrolase_c0
rxn00423_c0	['SERAT', 'SERATi', 'U48']	R00586	['META:SERINE-O-ACETTRAN-RXN', 'META:SERINE-O-ACETTRAN-RXN.m', 'META:SERINE-O-ACETTRAN-RXN.d', 'META:SERINE-O-ACETTRAN-RXN.c']	acetyl-CoA:L-serine O-acetyltransferase_c0
rxn00364_c0	['U18', 'CYTK1']	R00512	['META:RXN-11832.c', 'META:CMPKI-RXN.c', 'META:RXN-11832']	ATP:CMP phosphotransferase_c0
rxn05561_c0	['FUMt2r', 'FUMt6', 'U207']	NULL	NULL	Transport of dicarboxylates, extracellular_c0
rxn03408_c0	NULL	R05032	NULL	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0
rxn02177_c0	NULL	R03037	['META:ISOCHORMAT-RXN.c', 'META:ISOCHORMAT-RXN']	Isochorismate pyruvate-hydrolase_c0
rxn05250_c0	NULL	NULL	NULL	FACOAL160(ISO)_c0
rxn05440_c0	NULL	NULL	NULL	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0
rxn14087_c0	NULL	R08944	NULL	acetyl-[acyl-carrier-protein]: malonate S-[acyl-carrier-protein]transferase_c0
rxn00935_c0	NULL	R01257	NULL	(S)-Malate:(acceptor) oxidoreductase_c0
rxn01673_c0	['NDPK7', 'YNK1_5']	R02326	['META:DCDPKIN-RXN', 'META:DCDPKIN-RXN.n', 'META:DCDPKIN-RXN.c']	ATP:dCDP phosphotransferase_c0
